context,distance,strategy,overlap_with_golddigger,fit_mean,fit_min,below_floor,novelty_mean,redundancy,role_dup
f0fcbc226851:0,50,random,0.0,0.6483057439906035,0.4395091208380715,0.125,0.5297591743119267,0.39049404859542847,0.125
f0fcbc226851:0,50,metadata,0.0,0.7431668702930152,0.7414440273080961,0.0,0.28532110091743124,0.5085602402687073,0.0
f0fcbc226851:0,50,nearest,0.0,0.446831211977054,0.43763466204425683,0.875,0.0020642201834862386,0.8687504529953003,1.0
f0fcbc226851:0,50,inverse,0.3333333333333333,0.660156375020779,0.4407734761214404,0.125,0.49977064220183487,0.27719536423683167,0.125
f0fcbc226851:0,50,band_nofit,1.0,0.6798758831506497,0.5986908083918077,0.0,0.5008027522935781,0.23218806087970734,0.0
f0fcbc226851:0,50,golddigger,1.0,0.6798758831506497,0.5986908083918077,0.0,0.5008027522935781,0.23218806087970734,0.0
f0fcbc226851:0,70,random,0.0,0.6483057439906035,0.4395091208380715,0.125,0.5297591743119267,0.39049404859542847,0.125
f0fcbc226851:0,70,metadata,0.0,0.7431668702930152,0.7414440273080961,0.0,0.28532110091743124,0.5085602402687073,0.0
f0fcbc226851:0,70,nearest,0.0,0.446831211977054,0.43763466204425683,0.875,0.0020642201834862386,0.8687504529953003,1.0
f0fcbc226851:0,70,inverse,0.23076923076923078,0.6527241440599683,0.5826947289578217,0.0,0.6997706422018348,0.3466734290122986,0.0
f0fcbc226851:0,70,band_nofit,1.0,0.6680756808953202,0.5896878979024451,0.0,0.701605504587156,0.2280535250902176,0.0
f0fcbc226851:0,70,golddigger,1.0,0.6680756808953202,0.5896878979024451,0.0,0.701605504587156,0.2280535250902176,0.0
f0fcbc226851:0,90,random,0.0,0.6483057439906035,0.4395091208380715,0.125,0.5297591743119267,0.39049404859542847,0.125
f0fcbc226851:0,90,metadata,0.0,0.7431668702930152,0.7414440273080961,0.0,0.28532110091743124,0.5085602402687073,0.0
f0fcbc226851:0,90,nearest,0.0,0.446831211977054,0.43763466204425683,0.875,0.0020642201834862386,0.8687504529953003,1.0
f0fcbc226851:0,90,inverse,0.3333333333333333,0.6148411774356299,0.4435912862970026,0.125,0.899770642201835,0.3122701644897461,0.25
f0fcbc226851:0,90,band_nofit,0.7777777777777778,0.6619501266271832,0.4435912862970026,0.125,0.8986238532110092,0.23579366505146027,0.125
f0fcbc226851:0,90,golddigger,1.0,0.681097380643475,0.5967693184273375,0.0,0.8986811926605505,0.24606190621852875,0.0
5b958d183451:0,10,random,0.0,0.6615753809168394,0.5964441563336622,0.0,0.5224197247706422,0.2276085615158081,0.0
5b958d183451:0,10,metadata,0.0,0.7312445913753642,0.7235612837645063,0.0,0.21318807339449541,0.46518588066101074,0.0
5b958d183451:0,10,nearest,0.0,0.3569022830618864,0.2288200358675069,0.75,0.0020642201834862386,0.9382296204566956,1.0
5b958d183451:0,10,inverse,0.45454545454545453,0.6096249666194073,0.46756876474066345,0.0,0.09977064220183487,0.567426323890686,0.0
5b958d183451:0,10,band_nofit,0.7777777777777778,0.6309026382755551,0.3614017318912448,0.125,0.10160550458715598,0.4299953579902649,0.125
5b958d183451:0,10,golddigger,1.0,0.668009410079289,0.5445675039685158,0.0,0.10091743119266056,0.49506875872612,0.0
5b958d183451:0,30,random,0.0,0.6615753809168394,0.5964441563336622,0.0,0.5224197247706422,0.2276085615158081,0.0
5b958d183451:0,30,metadata,0.0,0.7312445913753642,0.7235612837645063,0.0,0.21318807339449541,0.46518588066101074,0.0
5b958d183451:0,30,nearest,0.0,0.3569022830618864,0.2288200358675069,0.75,0.0020642201834862386,0.9382296204566956,1.0
5b958d183451:0,30,inverse,0.06666666666666667,0.6561967059647378,0.44818806010317713,0.125,0.3002293577981652,0.49418583512306213,0.125
5b958d183451:0,30,band_nofit,0.23076923076923078,0.6480023010430189,0.44818806010317713,0.125,0.30103211009174313,0.31917089223861694,0.125
5b958d183451:0,30,golddigger,1.0,0.6725526785989093,0.597215467479327,0.0,0.29827981651376145,0.3179033398628235,0.0
5b958d183451:0,50,random,0.0,0.6615753809168394,0.5964441563336622,0.0,0.5224197247706422,0.2276085615158081,0.0
5b958d183451:0,50,metadata,0.0,0.7312445913753642,0.7235612837645063,0.0,0.21318807339449541,0.46518588066101074,0.0
5b958d183451:0,50,nearest,0.0,0.3569022830618864,0.2288200358675069,0.75,0.0020642201834862386,0.9382296204566956,1.0
5b958d183451:0,50,inverse,0.3333333333333333,0.6636981182251828,0.6009982808911176,0.0,0.49977064220183487,0.3156862258911133,0.0
5b958d183451:0,50,band_nofit,1.0,0.6633018191576767,0.600905710338905,0.0,0.5004013761467889,0.2205355167388916,0.0
5b958d183451:0,50,golddigger,1.0,0.6633018191576767,0.600905710338905,0.0,0.5004013761467889,0.2205355167388916,0.0
5b958d183451:0,70,random,0.0,0.6615753809168394,0.5964441563336622,0.0,0.5224197247706422,0.2276085615158081,0.0
5b958d183451:0,70,metadata,0.0,0.7312445913753642,0.7235612837645063,0.0,0.21318807339449541,0.46518588066101074,0.0
